iter	Passed	Remaining
0	1	145
1	2	141
2	4	137
3	5	123
4	6	120
5	7	115
6	8	115
7	9	112
8	10	108
9	11	107
10	13	106
11	14	104
12	15	102
13	16	102
14	17	100
15	18	98
16	19	97
17	21	95
18	22	95
19	24	97
20	25	96
21	26	94
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	86
28	34	84
29	36	84
30	37	83
31	38	82
32	39	80
33	40	79
34	41	77
35	42	76
36	43	74
37	45	73
38	46	72
39	47	70
40	48	69
41	48	67
42	49	65
43	50	64
44	52	63
45	53	62
46	54	61
47	56	60
48	57	59
49	58	58
50	59	57
51	60	55
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	70	46
60	71	45
61	72	44
62	74	43
63	75	42
64	76	41
65	78	40
66	79	39
67	80	37
68	81	36
69	83	35
70	84	34
71	85	33
72	86	32
73	87	30
74	89	29
75	90	28
76	91	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	100	19
84	101	17
85	102	16
86	103	15
87	104	14
88	105	13
89	106	11
90	108	10
91	109	9
92	110	8
93	111	7
94	113	5
95	114	4
96	115	3
97	116	2
98	117	1
99	119	0
